"V1" "V2"
"tr_4_pm_3_1.fasta" "230"
"tr_4_pm_3_2.fasta" "259"
"tr_4_pm_3_3.fasta" "254"
"tr_4_pm_3_4.fasta" "268"
"tr_4_pm_3_5.fasta" "245"
"tr_4_pm_3_6.fasta" "256"
"tr_4_pm_3_7.fasta" "264"
"tr_4_pm_3_8.fasta" "236"
"tr_4_pm_3_9.fasta" "254"
"tr_4_pm_3_10.fasta" "237"
"tr_4_pm_3_11.fasta" "242"
"tr_4_pm_3_12.fasta" "227"
"tr_4_pm_3_13.fasta" "252"
"tr_4_pm_3_14.fasta" "239"
"tr_4_pm_3_15.fasta" "240"
"tr_4_pm_3_16.fasta" "264"
"tr_4_pm_3_17.fasta" "269"
"tr_4_pm_3_18.fasta" "255"
"tr_4_pm_3_19.fasta" "221"
"tr_4_pm_3_20.fasta" "243"
"tr_4_pm_3_21.fasta" "227"
"tr_4_pm_3_22.fasta" "248"
"tr_4_pm_3_23.fasta" "268"
"tr_4_pm_3_24.fasta" "233"
"tr_4_pm_3_25.fasta" "254"
"tr_4_pm_3_26.fasta" "259"
"tr_4_pm_3_27.fasta" "233"
"tr_4_pm_3_28.fasta" "249"
"tr_4_pm_3_29.fasta" "268"
"tr_4_pm_3_30.fasta" "236"
"tr_5_pm_1_1.fasta" "380"
"tr_5_pm_1_2.fasta" "404"
"tr_5_pm_1_3.fasta" "381"
"tr_5_pm_1_4.fasta" "364"
"tr_5_pm_1_5.fasta" "371"
"tr_5_pm_1_6.fasta" "397"
"tr_5_pm_1_7.fasta" "372"
"tr_5_pm_1_8.fasta" "378"
"tr_5_pm_1_9.fasta" "385"
"tr_5_pm_1_10.fasta" "375"
"tr_5_pm_1_11.fasta" "376"
"tr_5_pm_1_12.fasta" "369"
"tr_5_pm_1_13.fasta" "387"
"tr_5_pm_1_14.fasta" "384"
"tr_5_pm_1_15.fasta" "379"
"tr_5_pm_1_16.fasta" "363"
"tr_5_pm_1_17.fasta" "387"
"tr_5_pm_1_18.fasta" "355"
"tr_5_pm_1_19.fasta" "363"
"tr_5_pm_1_20.fasta" "373"
"tr_5_pm_1_21.fasta" "384"
"tr_5_pm_1_22.fasta" "364"
"tr_5_pm_1_23.fasta" "378"
"tr_5_pm_1_24.fasta" "360"
"tr_5_pm_1_25.fasta" "386"
