"V1" "V2"
"tr_4_pm_1_13.fasta" "512"
"tr_4_pm_1_14.fasta" "521"
"tr_4_pm_1_15.fasta" "496"
"tr_4_pm_1_16.fasta" "505"
"tr_4_pm_1_17.fasta" "498"
"tr_4_pm_1_18.fasta" "470"
"tr_4_pm_1_19.fasta" "492"
"tr_4_pm_1_20.fasta" "508"
"tr_4_pm_1_21.fasta" "478"
"tr_4_pm_1_22.fasta" "504"
"tr_4_pm_1_23.fasta" "490"
"tr_4_pm_1_24.fasta" "491"
"tr_4_pm_1_25.fasta" "477"
"tr_4_pm_1_26.fasta" "458"
"tr_4_pm_1_27.fasta" "479"
"tr_4_pm_1_28.fasta" "503"
"tr_4_pm_1_29.fasta" "483"
"tr_4_pm_1_30.fasta" "506"
"tr_4_pm_1_31.fasta" "479"
"tr_4_pm_1_32.fasta" "486"
"tr_4_pm_1_33.fasta" "495"
"tr_4_pm_1_34.fasta" "502"
"tr_4_pm_1_35.fasta" "505"
"tr_4_pm_1_36.fasta" "458"
"tr_4_pm_1_37.fasta" "501"
"tr_4_pm_1_38.fasta" "462"
"tr_4_pm_1_39.fasta" "484"
"tr_4_pm_1_40.fasta" "508"
"tr_4_pm_2_1.fasta" "362"
"tr_4_pm_2_2.fasta" "366"
"tr_4_pm_2_3.fasta" "368"
"tr_4_pm_2_4.fasta" "360"
"tr_4_pm_2_5.fasta" "345"
"tr_4_pm_2_6.fasta" "365"
"tr_4_pm_2_7.fasta" "374"
"tr_4_pm_2_8.fasta" "368"
"tr_4_pm_2_9.fasta" "365"
"tr_4_pm_2_10.fasta" "363"
"tr_4_pm_2_11.fasta" "381"
"tr_4_pm_2_12.fasta" "373"
"tr_4_pm_2_13.fasta" "373"
"tr_4_pm_2_14.fasta" "350"
"tr_4_pm_2_15.fasta" "361"
"tr_4_pm_2_16.fasta" "378"
"tr_4_pm_2_17.fasta" "399"
"tr_4_pm_2_18.fasta" "401"
"tr_4_pm_2_19.fasta" "380"
"tr_4_pm_2_20.fasta" "358"
"tr_4_pm_2_21.fasta" "372"
"tr_4_pm_2_22.fasta" "365"
"tr_4_pm_2_23.fasta" "383"
"tr_4_pm_2_24.fasta" "367"
"tr_4_pm_2_25.fasta" "383"
"tr_4_pm_2_26.fasta" "369"
"tr_4_pm_2_27.fasta" "390"
"tr_4_pm_2_28.fasta" "376"
"tr_4_pm_2_29.fasta" "366"
"tr_4_pm_2_30.fasta" "392"
"tr_4_pm_3_1.fasta" "356"
"tr_4_pm_3_2.fasta" "381"
"tr_4_pm_3_3.fasta" "352"
"tr_4_pm_3_4.fasta" "363"
"tr_4_pm_3_5.fasta" "346"
"tr_4_pm_3_6.fasta" "373"
"tr_4_pm_3_7.fasta" "385"
"tr_4_pm_3_8.fasta" "357"
"tr_4_pm_3_9.fasta" "373"
"tr_4_pm_3_10.fasta" "336"
"tr_4_pm_3_11.fasta" "354"
"tr_4_pm_3_12.fasta" "333"
"tr_4_pm_3_13.fasta" "350"
"tr_4_pm_3_14.fasta" "340"
"tr_4_pm_3_15.fasta" "338"
"tr_4_pm_3_16.fasta" "381"
"tr_4_pm_3_17.fasta" "375"
"tr_4_pm_3_18.fasta" "360"
"tr_4_pm_3_19.fasta" "352"
"tr_4_pm_3_20.fasta" "348"
"tr_4_pm_3_21.fasta" "339"
"tr_4_pm_3_22.fasta" "366"
"tr_4_pm_3_23.fasta" "378"
"tr_4_pm_3_24.fasta" "355"
"tr_4_pm_3_25.fasta" "376"
"tr_4_pm_3_26.fasta" "380"
"tr_4_pm_3_27.fasta" "346"
"tr_4_pm_3_28.fasta" "361"
"tr_4_pm_3_29.fasta" "385"
"tr_4_pm_3_30.fasta" "348"
"tr_5_pm_1_1.fasta" "856"
"tr_5_pm_1_2.fasta" "841"
"tr_5_pm_1_3.fasta" "826"
"tr_5_pm_1_4.fasta" "839"
"tr_5_pm_1_5.fasta" "845"
"tr_5_pm_1_6.fasta" "835"
"tr_5_pm_1_7.fasta" "848"
"tr_5_pm_1_8.fasta" "849"
"tr_5_pm_1_9.fasta" "824"
"tr_5_pm_1_10.fasta" "834"
"tr_5_pm_1_11.fasta" "838"
"tr_5_pm_1_12.fasta" "858"
"tr_5_pm_1_13.fasta" "854"
"tr_5_pm_1_14.fasta" "845"
"tr_5_pm_1_15.fasta" "839"
"tr_5_pm_1_16.fasta" "840"
"tr_5_pm_1_17.fasta" "837"
"tr_5_pm_1_18.fasta" "836"
"tr_5_pm_1_19.fasta" "826"
"tr_5_pm_1_20.fasta" "848"
"tr_5_pm_1_21.fasta" "830"
"tr_5_pm_1_22.fasta" "850"
"tr_5_pm_1_23.fasta" "834"
"tr_5_pm_1_24.fasta" "845"
"tr_5_pm_1_25.fasta" "855"
"tr_5_pm_1_26.fasta" "845"
"tr_5_pm_1_27.fasta" "825"
"tr_5_pm_1_28.fasta" "840"
"tr_5_pm_1_29.fasta" "858"
"tr_5_pm_1_30.fasta" "850"
"tr_5_pm_1_31.fasta" "841"
"tr_5_pm_1_32.fasta" "834"
"tr_5_pm_1_33.fasta" "839"
"tr_5_pm_1_34.fasta" "848"
"tr_5_pm_1_35.fasta" "841"
"tr_5_pm_1_36.fasta" "862"
"tr_5_pm_1_37.fasta" "821"
"tr_5_pm_1_38.fasta" "848"
"tr_5_pm_1_39.fasta" "848"
"tr_5_pm_1_40.fasta" "856"
"tr_5_pm_2_1.fasta" "595"
"tr_5_pm_2_2.fasta" "568"
"tr_5_pm_2_3.fasta" "594"
"tr_5_pm_2_4.fasta" "641"
"tr_5_pm_2_5.fasta" "598"
"tr_5_pm_2_6.fasta" "590"
"tr_5_pm_2_7.fasta" "587"
"tr_5_pm_2_8.fasta" "607"
"tr_5_pm_2_9.fasta" "577"
"tr_5_pm_2_10.fasta" "586"
"tr_5_pm_2_11.fasta" "605"
"tr_5_pm_2_12.fasta" "592"
"tr_5_pm_2_13.fasta" "607"
"tr_5_pm_2_14.fasta" "602"
"tr_5_pm_2_15.fasta" "614"
"tr_5_pm_2_16.fasta" "593"
"tr_5_pm_2_17.fasta" "598"
"tr_5_pm_2_18.fasta" "604"
"tr_5_pm_2_19.fasta" "572"
"tr_5_pm_2_20.fasta" "621"
"tr_5_pm_2_21.fasta" "573"
"tr_5_pm_2_22.fasta" "637"
"tr_5_pm_2_23.fasta" "603"
"tr_5_pm_2_24.fasta" "581"
"tr_5_pm_2_25.fasta" "577"
"tr_5_pm_2_26.fasta" "617"
"tr_5_pm_2_27.fasta" "588"
"tr_5_pm_2_28.fasta" "592"
"tr_5_pm_2_29.fasta" "588"
"tr_5_pm_2_30.fasta" "606"
"tr_5_pm_3_1.fasta" "940"
"tr_5_pm_3_2.fasta" "936"
"tr_5_pm_3_3.fasta" "940"
"tr_5_pm_3_4.fasta" "931"
"tr_5_pm_3_5.fasta" "931"
"tr_5_pm_3_6.fasta" "934"
"tr_5_pm_3_7.fasta" "939"
"tr_5_pm_3_8.fasta" "941"
"tr_5_pm_3_9.fasta" "927"
"tr_5_pm_3_10.fasta" "931"
"tr_5_pm_3_11.fasta" "924"
"tr_5_pm_3_12.fasta" "920"
"tr_5_pm_3_13.fasta" "924"
"tr_5_pm_3_14.fasta" "938"
"tr_5_pm_3_15.fasta" "923"
"tr_5_pm_3_16.fasta" "923"
"tr_5_pm_3_17.fasta" "921"
"tr_5_pm_3_18.fasta" "942"
"tr_5_pm_3_19.fasta" "937"
"tr_5_pm_3_20.fasta" "925"
